"
  Doodle: Live Wallpapers","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu3dxUGmF2diz2mhtyJtBG5Gm7XoqPo-FC7UO_-4=s32-rw-mo","Arjun Gupta","November 3, 2022","Excellent execution! App works well with Hyperion Launcher. No crashes witnessed so far. I did not witness any jerks in the animations. Amazed this isn't a paid app. The only issue? Low variety of wallpapers. I know this is centred around Pixel phones and Live Wallpapers take their own sweet time to make but, you will, at some point, have to foray into styles different from that of Pixel to keep the app from getting stale. How do you plan to address that?","6 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-AVzeJo_V03Vi7ajk9psb1-Edy_PUEnfQHKhOxFTc=s32-rw","Christian Zgheib","September 6, 2022","While this app is beautifully built and designed, it had a few compatability issues with One UI. These issues have now been fixed, as the developer is very dedicated and responsive. This app provides beautiful live wallpapers with ultra smooth animations that I cannot live without at this point. The Google Pixel experience is unparalleled and I love the imported cues and hints into Samsung's One UI. Recommended for everyone to try!","31 people found this review helpful","Show review history","Patrick Zedler","September 6, 2022","Thank you so much for your help and the updated review! Very motivating🤭"
"https://play-lh.googleusercontent.com/a-/ACNPEu8_l-3owLil58MWwQE_IuttrQY2TUq8u0rsG4pV3g=s32-rw","Alf Lenni Erlandsen","October 26, 2022","Made my phone come to life in a way I'd only think Google could've done (but didn't). Interface/settings are awesome and there's so much potential in this. I absolutely love it for what it is. I'd love to see more variants of wallpapers but hey.... Not complaining! This app just straight up rocks!","11 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_Rpr63PWKQlJ91PzO0tl0BCFnVRHYYhJcMThMBtb0=s32-rw","David John","October 30, 2022","Even though I've moved on to a Pixel 7 pro with more versatile cameras, I miss my good old 4xl, probably the best phone I ever owned, with flawless face unlock and a really well calibrated screen without any notches or hole punchouts. Criminally underrated phone just because it had a slightly thicker ""forehead"". Anyway, this app brings the aesthetic of my Pixel 4 to my new phone. Great little bit of nostalgia, love the randomizer function. I'd appreciate a preview function, otherwise very good.","5 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2kCQFI32TcU9RT9kTzpya_Vhi4icylUkc8mNjG=s32-rw-mo","siddhesh singh","October 31, 2022","Why did I not discover this app before! I absolutely love these wallpapers on my Pixel 6a. It somehow completely transforms the feel of the phone. But I do have a request - please avoid putting colorful dots on the bottom of the wallpaper, it gives the look that there is a notification from that app when seen from corner of the eye.","","Show review history","Patrick Zedler","October 31, 2022","Thank you so much! As they are all official or unofficial wallpapers from Google devices (this is what the app is about) I don't have the intention to modify the shape arrangements, it's intended that they look the same as the originals because people want exactly the original wallpapers in an improved way😅"
"https://play-lh.googleusercontent.com/a-/ACNPEu_hNfbn1ezbktrioPKoG3jgNh0PpPQ10jumWR8h=s32-rw","Kyaw Rarzar Lynn","November 4, 2022","UI, UX is very satisfied. But, there is some weak point to improve like wallpaper is so bright and I can't see the text well on home screen. And we need the wallpaper preview feature when we choose the favorite wallpaper. And difficult to change.","","","Patrick Zedler","November 4, 2022","Thanks! The main reason why this app exists is auto dark mode and optional dark text, so the wallpaper should never be too bright. If the text doesn't change to dark for you, you should try another launcher, it's not my fault then. What favourite wallpaper feature do you mean and why should it be difficult to change the wallpaper?"
"https://play-lh.googleusercontent.com/a-/ACNPEu_pnAqFLq2fk5_Lxag4hf-WEG3bNc9AlacMU0W8-uY=s32-rw","Christina G.","November 7, 2022","This app is very well designed and incredible. 100% get this if you like creative moving wallpapers and are a minimalist. If you aren't a minimalist, check it out anyway. It's amazing. I dread the day when this app will expload and everyone will have it.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-BUy1ALu_RrrV1aL6T2kVIwAvn4ZpnQLsfDVUyBTo=s32-rw","Madeline","November 13, 2022","Love the app, the animations are smooth, and it works flawlessly for the most part, however when the mode that changes the wallpaper every screen off is active, it causes the pixel 6's screen off animation to judder and lag slightly, this is quite jarring so it would be appreciated if this was fixed in the future, thank you :)","","Show review history","Patrick Zedler","November 13, 2022","This is sadly not possible because of the Material You color extraction algorithm since Android 12, it always takes some time to apply the new colors to the system. But in the next version of Doodle you can select a shorter interval than daily, so the screen off random mode is not really necessary anymore. Thank you! :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu9PgvtL4hLeayVzXOKRiis5JVnYYsQUv0SjtCxkAg=s32-rw","Rahim Rad","November 10, 2022","Just came across this amazing App, and it already started to amaze me with its amazing features and customizabilities. My device looks A lot more different, and I'm loving it. I do not hesitate to tap all the 5 starts. Hats off to the Developer, Nice work.","","Show review history","Patrick Zedler","November 10, 2022","Thank you so much! 🤭"
"https://play-lh.googleusercontent.com/a-/ACNPEu-IzzL1OqJlqH7NfhZqx7PTWSAxr6GPJ655Bw0Ofw=s32-rw","Anjel IHart","September 4, 2022","Oh the lovely power of Random Wallpaper Design. I have set mine to Screen Off and take great pleasure turning my screen off and on to see the change. There's room for growth; more designs for sure. The ability to make my own dynamic wallpapers would be nice down the line. Nice as is. Tk!","4 people found this review helpful","","Patrick Zedler","September 4, 2022","Thanks for your review! Please understand that every design in this app isn't just an image, it's a result of many hours of complex work including shape extraction, vector conversion and optimization for parallax effect. I will work on the next design as soon as I have enough time. In the meantime, please enjoy the existing ones."
"https://play-lh.googleusercontent.com/a-/ACNPEu9-rrLJeqUqYSAy0KzeR4PgwPmFpClG0QpnogBS=s32-rw","Benjamin Ricci","October 31, 2022","Beautifully made UI, and great designs and colors. It integrates well with Android's new coloring scheme around the OS, which I haven't noticed until playing around with the colors in this app.","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0sx3W0mQHrBvdUAAUblSkm1ZRWxh8LVUrKeFgtC_8=s32-rw-mo","Elay Yashar","September 9, 2022","Great app, also works with KWGT widgets to give a Material U feel. But with bright wallpapers, the alert slider's text doesn't darken and so it stays white and you can't see anything. Can I change something in the settings? Because using bright wallpapers not from the app darkens the alert slider. (Using OnePlus on Oxygen 11).","","","Patrick Zedler","September 9, 2022","Thanks! In the appearance section under extracted colors you have to choose a bright primary color so that the system knows that the wallpaper is mainly bright. If that doesn't work, I sadly have no clue why, the launcher should calculate the contrast with the primary color."
"https://play-lh.googleusercontent.com/a/ALm5wu1vCT3GsahGqFdMb4M_79o9JIxHDYhsdqBb3wqe=s32-rw-mo","Andy Liao","September 16, 2022","Perfection. Beautiful artistic wallpapers that zoom in as you unlock your phone and swift as you switch home pages. Each wallpapet is bright and refreshing. 100% free to use with absolutely no monetization like in-app-purchases or ads. This is the wallpaper app I'm looking for!","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9nJn-dQ3POejb4itJ_rLq4C7l96LYPkI--3ywS=s32-rw","captain majid","November 17, 2022","The app worked flawlessly when i downloaded it the first time. Now it doesn't work anymore. I tried uninstalling and reinstalling but it didn't work at all. All i get is a white screen when i launch the app. Please fix it quick!","","","Patrick Zedler","November 17, 2022","Weird that it worked, it has to be caused by a system update you had installed since then. Please open the help dialog and try the fix there, and please update your rating if it works."
"https://play-lh.googleusercontent.com/a-/ACNPEu-c3MABniQ2-336AW7AutbTdkTowxuw59i31L0OPw=s32-rw","Abdullah Ghulam Muhammad","October 29, 2022","Okay so this app is amazing if you want a decent interface and a decent variety of wallpapers which are not easy to find nowadays.I have downloaded many wallpapers app but most of them were bombarded by ads or filled with typical weird Wallpapers.I really appreciate the work and effort putted in this.Smooth animations with beautiful and professional wallpapers truly loved it :-D","","","Patrick Zedler","October 29, 2022","Thank you for all of your compliments!🙏🏼 Very refreshing to know that my users appreciate the interface!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_HN6kWtrG77GShHmALZ0xB-AfZu5yaXb2nph6K8g=s32-rw","Tanveer Singh","September 14, 2022","My experience with this app is fantastic, not only does it provide quality wallpapers but it also drains little to no battery for my device. A very refreshing application. Hard to believe this is free.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9KVW1_PqI1RjYacqqic9pRcf6VAFXz7Z0kzGO0d58=s32-rw","Jack Maslov","October 23, 2022","I would love to see more designs and allow for custom colors on any background selection. Otherwise I love it. It doesn't even drain that much battery.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8lG5sINUeX8v5qYXZetVQwtux7UM-iIMGWtFs52Q=s32-rw","Shriram Fowkar","September 17, 2022","What a gem of an app. Kudos to the developer. More Kudos because he is just 20 years old and has kept this wonderful app Open Source and without ads on Play Store. My only feature request is scheduled rotation of wallpapers at certain intervals say 15 min or 30 min etc","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8iW4UBe8xvQWjNeg2T8qSIPfhlAEyQh_oszb3G=s32-rw","Fletrgoodboy","October 16, 2022","I am currently using android 9, and because of that, none of the settings work at all. It doesn't work at all, and I tried to change the fading animation to sliding and it still doesn't work.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-diuT3CZ-Rh7hPlLn3v0rdVuuBjmpVXLmw6rHb5w=s32-rw","Ameen Mohiuddin","September 15, 2022","It's wonderful, but at some time after applying there's compatibility issue while switching light to dark or dark to light mode... I hope it will be fixed in future updates...","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8GJ4usuXHYXeEl8UeuHXJFT-SM_K01rj5ks_CPi8A=s32-rw","Lucky Pal","October 7, 2022","It is a great app no permission to access it is good and I like every theme but It would have been better if there were animations for all apps and every press and custom icons,lockscreen,widgets,and notification bar","","","Patrick Zedler","October 7, 2022","That's definitely not the job of a wallpaper app, live wallpaper apps like Doodle are exactly meant to provide wallpapers, nothing else 🙃"
"https://play-lh.googleusercontent.com/a-/ACNPEu8EJ8mvkoxce3AMiWO_OFvoqjnoixA5epqXB9Q1Cg=s32-rw","Adrian Ikeaba","October 3, 2022","Amazing wallpaper service. Love the various wallpapers and the zooming in and parallax effect. Quick note, in the parallax settings it says it isn't available for TouchWiz, but I'm using One Ui 4.1 and it works. Amazing app","","","Patrick Zedler","October 3, 2022","Thank you so much! You mean, parallax is in the default One UI Home launcher available like in any other launcher?"
"https://play-lh.googleusercontent.com/a-/ACNPEu-8GCLNX2PhSA4cc0f-hCj5MpAIyoZg5hTIXtZGuw=s32-rw","Rishi Rajput","October 23, 2022","Great app unfortunately I can't use all of it's features as I'm using one UI. So that's kind of drawback but overall it's great app does it job quite good. You can really consider it if ur not using a Samsung phone.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_ElimenNcUdAg5oDCGw8P1HHFfibHJ_InvsvuJ-A=s32-rw","Kim M.","September 16, 2022","the set wallpaper button is gone? how am i even supposed to use this anymore? Edit: Developer, i love your app. i didn't mean to offend you for giving one star. i mean the ratings are there to rate your app, not to personally attack you. anyway, keep up the good work and thank you for this app!","","Show review history","Patrick Zedler","September 15, 2022","This is intended as you can read in the in-app help dialog, you only need to apply the wallpaper once. For future issues, do you think it would be nicer if you try to find a solution with the included help instead of giving 1 star for many hours of hard work? It would make me happy when you update your rating if this helps you :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu-wLiRT-BxLlMR1GokP8YgxpCT0UXOa8yo4n_uWhsU=s32-rw","Muhammad Shahriar","October 5, 2022","Brilliant app. I've been looking for an app that could automatically change my wallpaper based on device theme.. But it sucks that I'm a MIUI user. For some reason wallpaper isn't changing automatically in MIUI. Man I hate Xiaomi so much. Love this app tho. And thanks for making it open-source and free.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8eie8wteMur34idvSsw5ZKovQgVvn3G75z0IOtqg=s32-rw","lee dower","November 20, 2022","One of the best and cleanest wallpaper apps on the playstore. It also has an auto wallpaper change function which is excellent. Download it now.","","","Patrick Zedler","November 20, 2022","Thank you so much!🤭"
