"
  School Planner - Timetable","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu1V9h5NYgvvwSAv8cK71SprxUl1yMB6CgLFh4N02Q=s32-rw-mo","Sakhi Bhagwat","April 14, 2022","Best app ever! It's simple and easy.. I'm on track. However there are sooo many advertisements!!! it's really annoying otherwise would have given 5 stars. Features I would recommend: 1.reduce the amount of ads 2.there is no selection of subject in tasks so I would recommend that (like it's in assignment). 3. Time selection. Task starts from and task finishes at That's all, I hope you add these features in future updates. Thank you. Good day","11 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0vgP_QhLNgIpXsLAWe0cY59URRz0rPXBKMPkbB=s32-rw-mo","Kartheek Yadav","March 2, 2022","Excellent app ,thanks to developer it really helps a lot, but it lacks one feature which is nedded , in subject section when we click subjects it does not do anything instead if it shows all assignments and tasks related to subjects in one area it really helps a lot and also option to tag tasks to subjects . please if possible include it this feature","6 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-bb7OGbnVzKAPaPmYlbXB0GK1e63XWSdPb8tPh=s32-rw","Angelica Loanne Berdon","October 19, 2022","It's good and it helps me with my schedules, reminders and so on, I like the color theme/design whatsoever you called that but there is a problem, it's laggy in my phone although I don't think my phone has a problem because other apps are working properly so I don't have a choice but to uninstall. Hope you'll have time to fix it soon. Tysm for making the app despite of what I've been experienced.","2 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_MqCgzev0v_fIqhnNBDz-1kkAAustTPckgAa-0AQ=s32-rw","Yousuf Hussain","October 1, 2022","After using this app for a couple of months, I found some glaring problems. For example, the notifications on the assignment due always mess up the date there are supposed to come. I make it due on Tuesday and notifications come on Wednesday. Also should be able to adjust time reminders come as well as the date.","7 people found this review helpful","Show review history","Swazer","October 3, 2022","Thank you for your kind feedback. We are aware of this problem and are currently working on solving it. Please update your app to the latest version when you see an option."
"https://play-lh.googleusercontent.com/a-/ACNPEu_l8kMSg5qRGPubifA5Nr-UKFo4pLMfdawWcfze5Q=s32-rw","Siti Maryam Shidiqa","September 10, 2022","Definitely amazing!! So simple, easy to use, and it covers everything you need. I only have one problem. Could you please add another time option for subjects that has more than 1 day? In the app, we can already add more days, but no added time. We can only use 1 time for each day. Sometimes the subjects has different class time for each days. Other than that, everything is perfect. I don't think the app needs improvement for the design or fonts. Would love to recommend this to my friends :>","5 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2v4XMHBC77u648SlMU8M4ib6qy6R-tZ0WzutMI=s32-rw-mo","Kayla Ritter","July 14, 2022","Out of trying 30+ planners, this one has been EXACTLY what I've been looking for! My 9yo is very visual so we needed a block schedule AND a list schdule. I love how we can add single events and get rid of single blocks when needed. The only requests I would have is if there could also be a bi-weekly option, an Only Edit This option, and a select multiple events to cancel (or even a full day cancel.) Maybe even smaller words on the blocks so we could see them! But we LOVE it !☺","5 people found this review helpful","Show review history","Swazer","July 23, 2022","Thank you for your feedback. We just wanted you to know that canceling a full day is coming in the next release, we also added your other suggestions to our roadmap."
"https://play-lh.googleusercontent.com/a-/ACNPEu-CcxMb-4LRkrk_G0pvkUy5dmBMsB9NfL_1Kgz7=s32-rw","Olivia Dunbar","September 4, 2022","Absolutely love this app, i've tried so many and this is the perfect one. The only thing that would make this the absolute best is the option to have a 2 week timetable, now we can only add a class once or every week and the option to make it every 2 weeks would be amazing. Thank you so much for a great app😁","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9uCAjbmnhWR06DBLqYDMskjt1M7gh_he0acaUdwnI=s32-rw","ali reda ali","October 29, 2022","The program is very good, useful and very simple. It would be good to develop a program for Windows or a website that. We really need that","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-8kfHX78C_8PeGDsPMK0fIO78pUYpKwvn9x-zZqQ=s32-rw","ineza marie melodie","October 9, 2022","This app is incredible. It is so helpful to me as student. So far i haven't faced any issue while using the app. It is very easy to use and helps me stay organized. 👍","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8TEdpF3VTb8_eoAhHs1KrGh14k2MHobqOea-EZ_Q=s32-rw","Virtue Gaming","October 9, 2022","Its a pretty decent app But it could be better if a syllabus tracker feature could be added which can track your progress and you can see if your on schedule or not","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_drosB7p2S7-ztCfOCZPbFK_7aCbg2sSTFQS2m=s32-rw","Ronald Benny","October 10, 2022","The interface is welcoming. And it has enought features for my use. Also, no problems encountered yet.","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu84MwEkHz5LsfUoR53dIDdUlxp-TrJY7b_bBQ81jw=s32-rw","Aqsa Fareed","October 28, 2022","I am having some trouble with navigating it. But otherwise wonderful app. So far no distractions.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_xnjkMYOCZRNxtwLV3_pEtxQGNKAXtYW8pR10JHw=s32-rw","Sheena Faith Bautista","September 17, 2022","This is a really good app. Very helpful. But it lags and freezes whenever I use it and the features are very delayed. If it weren't for those, I would've given it 5 star rating.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-6Ycy17TtdmeFVmBKWTOBvlEQfbTg4OJtbzVD-Kw=s32-rw","Stephanie Lanzarrote","September 26, 2022","This app deserves more recognition! No intrusive ads or whatnot and cute customizable ui, kudos to the developers! I really love this 🥰","","","Swazer","October 3, 2022","Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at info@swazerlab.com if you have any questions."
